asset,config,n,sr_point,sr_p05,sr_p95
BTC,m10,88,0.16453983240677414,-0.006135660906189279,0.33930100411500835
BTC,m7,85,0.1539370038516721,-0.023967532758902104,0.33331760277957345
ETH,m10,138,-0.003502894118390333,-0.14238658626469552,0.13963753533953915
ETH,m7,129,-0.023045436466219517,-0.1637966315179677,0.12772756945227332
