period,hours,hours_with_regime,pct_below_-10,pct_in_band_-10_to_-7,min_regime
pooled,58625.0,58625.0,0.19930063965884862,0.05381663113006396,-59.81633169251123
oos,3858.0,3858.0,0.1886988076723691,0.017366511145671334,-26.989923191655542
is,54767.0,54767.0,0.20004747384373803,0.05638431902422992,-59.81633169251123
pre_etf,35303.0,35303.0,0.2239469733450415,0.047814633317281814,-59.81633169251123
post_etf,23322.0,23322.0,0.1619929680130349,0.06290198096218164,-32.89469627982344
