asset,direction,entry_ts,entry_iso,entry_date,exit_ts,exit_iso,exit_type,hold_hours,cdo,cdo_ts,up_exc_pct,dn_exc_pct,entry_price,exit_price,stop_price,target_price,move_pct,R,first_bar_of_day,same_bar_stop_target
ETH,SHORT,1579914000,2020-01-25T01:00:00Z,2020-01-25,1579925700,2020-01-25T04:15:00Z,stop,3.25,162.51,1579910400,0.04307427235248351,2.762906898037032,158.63,160.2163,160.2163,155.4574,-0.990099009900991,-1.170099009900991,True,False
BTC,LONG,1580173200,2020-01-28T01:00:00Z,2020-01-28,1580188860,2020-01-28T05:21:00Z,stop,4.35,8907.57,1580169600,2.0906936459663017,0.00011226406304576386,9069.31,8978.616899999999,8978.616899999999,9250.6962,-1.0000000000000009,-1.1800000000000008,True,False
ETH,LONG,1580234400,2020-01-28T18:00:00Z,2020-01-28,1580254500,2020-01-28T23:35:00Z,target,5.583333333333333,170.04,1580169600,2.6523171018584035,0.0058809691837136135,171.03,174.4506,169.3197,174.4506,2.0000000000000018,1.8200000000000018,False,False
ETH,LONG,1580558400,2020-02-01T12:00:00Z,2020-02-01,1580605200,2020-02-02T01:00:00Z,tif,13.0,179.94,1580515200,2.4119150828053826,0.3945759697677076,180.94,181.56,179.1306,184.5588,0.34265502376478185,0.16265502376478186,False,False
ETH,SHORT,1580626800,2020-02-02T07:00:00Z,2020-02-02,1580628300,2020-02-02T07:25:00Z,stop,0.4166666666666667,183.63,1580601600,1.9386810434024904,2.4669171703969983,186.04,187.9004,187.9004,182.3192,-0.990099009900991,-1.170099009900991,False,False
BTC,SHORT,1580626800,2020-02-02T07:00:00Z,2020-02-02,1580645940,2020-02-02T12:19:00Z,stop,5.316666666666666,9384.41,1580601600,0.027918643793278797,2.8175452692284275,9361.09,9454.7009,9454.7009,9173.8682,-0.990099009900991,-1.170099009900991,False,False
BTC,LONG,1580698800,2020-02-03T03:00:00Z,2020-02-03,1580745300,2020-02-03T15:55:00Z,stop,12.916666666666666,9331.59,1580688000,3.0777177308475956,0.4671229661826093,9376.3,9282.536999999998,9282.536999999998,9563.826,-1.000000000000012,-1.180000000000012,False,False
ETH,LONG,1580727600,2020-02-03T11:00:00Z,2020-02-03,1580761380,2020-02-03T20:23:00Z,target,9.383333333333333,188.48,1580688000,3.560059422750439,0.6738115449914983,187.98,191.7396,186.1002,191.7396,2.0000000000000018,1.8200000000000018,False,False
ETH,SHORT,1580835600,2020-02-04T17:00:00Z,2020-02-04,1580864400,2020-02-05T01:00:00Z,tif,8.0,189.74,1580774400,0.980288816274899,2.6615368398861694,189.24,189.63,191.13240000000002,185.45520000000002,-0.20566366081316012,-0.3856636608131601,False,False
ETH,LONG,1581037200,2020-02-07T01:00:00Z,2020-02-07,1581070560,2020-02-07T10:16:00Z,target,9.266666666666667,213.16,1581033600,2.383186338900356,0.009382623381504196,217.73,222.0846,215.5527,222.0846,2.0000000000000018,1.8200000000000018,True,False
ETH,SHORT,1581152400,2020-02-08T09:00:00Z,2020-02-08,1581157560,2020-02-08T10:26:00Z,stop,1.4333333333333333,223.36,1581120000,1.4058022922636138,4.539756446991405,225.12,227.37120000000002,227.37120000000002,220.6176,-0.990099009900991,-1.170099009900991,False,False
ETH,SHORT,1581422400,2020-02-11T12:00:00Z,2020-02-11,1581434100,2020-02-11T15:15:00Z,stop,3.25,222.89,1581379200,0.28713715285566543,2.1176365023105603,222.6,224.826,224.826,218.148,-0.990099009900991,-1.170099009900991,False,False
BTC,LONG,1581436800,2020-02-11T16:00:00Z,2020-02-11,1581469200,2020-02-12T01:00:00Z,tif,9.0,9851.74,1581379200,3.4741071120431455,1.5402355319973915,10164.99,10318.97,10063.3401,10368.2898,1.5148071960719989,1.334807196071999,False,False
ETH,LONG,1581469200,2020-02-12T01:00:00Z,2020-02-12,1581470700,2020-02-12T01:25:00Z,stop,0.4166666666666667,236.69,1581465600,4.567155350880903,0.0,247.07,244.5993,244.5993,252.0114,-1.0000000000000009,-1.1800000000000008,True,False
BTC,LONG,1581498000,2020-02-12T09:00:00Z,2020-02-12,1581555600,2020-02-13T01:00:00Z,tif,16.0,10223.08,1581465600,2.219683304835729,0.0,10292.3,10366.62,10189.376999999999,10498.145999999999,0.7220932153163107,0.5420932153163107,False,False
ETH,LONG,1581555600,2020-02-13T01:00:00Z,2020-02-13,1581557400,2020-02-13T01:30:00Z,stop,0.5,265.74,1581552000,2.7319936780311638,0.2784676751712234,272.21,269.48789999999997,269.48789999999997,277.6542,-1.0000000000000009,-1.1800000000000008,True,False
BTC,SHORT,1581584400,2020-02-13T09:00:00Z,2020-02-13,1581600960,2020-02-13T13:36:00Z,stop,4.6,10325.33,1581552000,1.604500776246387,2.0854539273805317,10260.86,10363.4686,10363.4686,10055.6428,-0.990099009900991,-1.170099009900991,False,False
ETH,SHORT,1581674400,2020-02-14T10:00:00Z,2020-02-14,1581675540,2020-02-14T10:19:00Z,stop,0.31666666666666665,268.34,1581638400,0.6745174032943391,3.0036520831780544,268.15,270.8315,270.8315,262.787,-0.9900990099010021,-1.170099009901002,False,False
ETH,SHORT,1581732000,2020-02-15T02:00:00Z,2020-02-15,1581734220,2020-02-15T02:37:00Z,stop,0.6166666666666667,285.11,1581724800,1.157448002525352,2.5954894602083556,279.28,282.0728,282.0728,273.6944,-0.990099009900991,-1.170099009900991,False,False
ETH,SHORT,1581814800,2020-02-16T01:00:00Z,2020-02-16,1581819720,2020-02-16T02:22:00Z,stop,1.3666666666666667,264.91,1581811200,0.3548374919783992,2.895322939866374,265.85,268.5085,268.5085,260.533,-0.990099009900991,-1.170099009900991,True,False
BTC,SHORT,1581872400,2020-02-16T17:00:00Z,2020-02-16,1581877080,2020-02-16T18:18:00Z,stop,1.3,9904.46,1581811200,1.469439020400909,2.68909158096452,9734.99,9832.339899999999,9832.339899999999,9540.2902,-0.9900990099009799,-1.1700990099009798,False,False
ETH,SHORT,1581958800,2020-02-17T17:00:00Z,2020-02-17,1581960540,2020-02-17T17:29:00Z,target,0.48333333333333334,258.89,1581897600,1.5527830352659588,6.524006334736754,260.85,255.633,263.4585,255.633,2.0408163265306145,1.8608163265306146,False,False
ETH,SHORT,1582027200,2020-02-18T12:00:00Z,2020-02-18,1582031760,2020-02-18T13:16:00Z,target,1.2666666666666666,267.9,1581984000,1.392310563643151,2.1649869354236517,267.5,262.15,270.175,262.15,2.0408163265306145,1.8608163265306146,False,False
ETH,SHORT,1582102800,2020-02-19T09:00:00Z,2020-02-19,1582141620,2020-02-19T19:47:00Z,target,10.783333333333333,282.64,1582070400,0.10614208887631538,2.9861307670534964,282.67,277.0166,285.49670000000003,277.0166,2.0408163265306145,1.8608163265306146,False,False
BTC,SHORT,1582149600,2020-02-19T22:00:00Z,2020-02-19,1582160400,2020-02-20T01:00:00Z,tif,3.0,10164.78,1582070400,0.8383850904790879,8.015717015026402,9615.72,9626.38,9711.877199999999,9423.4056,-0.11073736960310887,-0.29073736960310886,False,False
ETH,LONG,1582160400,2020-02-20T01:00:00Z,2020-02-20,1582164480,2020-02-20T02:08:00Z,stop,1.1333333333333333,258.44,1582156800,2.2790589691997987,0.7506577929113134,262.66,260.03340000000003,260.03340000000003,267.9132,-1.0000000000000009,-1.1800000000000008,True,False
BTC,SHORT,1582218000,2020-02-20T17:00:00Z,2020-02-20,1582219680,2020-02-20T17:28:00Z,target,0.4666666666666667,9594.65,1582156800,1.087585268873803,2.0287347636443243,9631.35,9438.723,9727.6635,9438.723,2.0408163265306145,1.8608163265306146,False,False
ETH,SHORT,1582682400,2020-02-26T02:00:00Z,2020-02-26,1582705800,2020-02-26T08:30:00Z,target,6.5,246.67,1582675200,1.4797097336522569,2.7040175132768463,240.0,235.2,242.4,235.2,2.0408163265306145,1.8608163265306146,False,False
ETH,SHORT,1582765200,2020-02-27T01:00:00Z,2020-02-27,1582765560,2020-02-27T01:06:00Z,target,0.1,223.98,1582761600,0.053576212161798864,4.0092865434413705,216.48,212.1504,218.6448,212.1504,2.0408163265306145,1.8608163265306146,True,False
BTC,SHORT,1582783200,2020-02-27T06:00:00Z,2020-02-27,1582792020,2020-02-27T08:27:00Z,stop,2.45,8786.0,1582761600,0.07420896881402683,2.9023446391987284,8762.7,8850.327000000001,8850.327000000001,8587.446,-0.990099009900991,-1.170099009900991,False,False
ETH,LONG,1582869600,2020-02-28T06:00:00Z,2020-02-28,1582873680,2020-02-28T07:08:00Z,stop,1.1333333333333333,227.73,1582848000,3.047468493391303,0.6718482413384241,227.26,224.98739999999998,224.98739999999998,231.80519999999999,-1.0000000000000009,-1.1800000000000008,False,False
ETH,LONG,1582938000,2020-02-29T01:00:00Z,2020-02-29,1582941540,2020-02-29T01:59:00Z,stop,0.9833333333333333,226.76,1582934400,2.279943552654795,0.004409948844585898,229.41,227.11589999999998,227.11589999999998,233.9982,-1.0000000000000009,-1.1800000000000008,True,False
ETH,LONG,1583028000,2020-03-01T02:00:00Z,2020-03-01,1583039460,2020-03-01T05:11:00Z,stop,3.183333333333333,217.29,1583020800,3.023609001794836,0.5476552073266139,223.6,221.364,221.364,228.072,-1.0000000000000009,-1.1800000000000008,False,False
BTC,LONG,1583082000,2020-03-01T17:00:00Z,2020-03-01,1583089200,2020-03-01T19:00:00Z,stop,2.0,8523.61,1583020800,2.6560342390137492,0.8099854404413298,8522.3,8437.077,8437.077,8692.746,-1.0000000000000009,-1.1800000000000008,False,False
ETH,SHORT,1583240400,2020-03-03T13:00:00Z,2020-03-03,1583246220,2020-03-03T14:37:00Z,target,1.6166666666666667,232.1,1583193600,0.15510555794917558,2.6281775096940962,228.43,223.8614,230.7143,223.8614,2.0408163265306145,1.8608163265306146,False,False
ETH,LONG,1583323200,2020-03-04T12:00:00Z,2020-03-04,1583334360,2020-03-04T15:06:00Z,stop,3.1,223.84,1583280000,2.238205861329523,1.040922087205154,223.25,221.01749999999998,221.01749999999998,227.715,-1.000000000000012,-1.180000000000012,False,False
ETH,LONG,1583600400,2020-03-07T17:00:00Z,2020-03-07,1583600460,2020-03-07T17:01:00Z,stop,0.016666666666666666,244.93,1583539200,2.8579594169762856,1.5637120810027438,245.11,242.65890000000002,242.65890000000002,250.0122,-1.0000000000000009,-1.1800000000000008,False,False
ETH,SHORT,1583629200,2020-03-08T01:00:00Z,2020-03-08,1583636340,2020-03-08T02:59:00Z,target,1.9833333333333334,237.23,1583625600,0.0,2.2889179277494343,234.09,229.4082,236.4309,229.4082,2.0408163265306145,1.8608163265306146,True,False
ETH,LONG,1583715600,2020-03-09T01:00:00Z,2020-03-09,1583715840,2020-03-09T01:04:00Z,stop,0.06666666666666667,199.43,1583712000,4.031489745775452,0.8624580053151476,203.14,201.1086,201.1086,207.2028,-1.0000000000000009,-1.1800000000000008,True,False
BTC,SHORT,1583730000,2020-03-09T05:00:00Z,2020-03-09,1583731860,2020-03-09T05:31:00Z,target,0.5166666666666667,8034.76,1583712000,1.799058092587713,2.8593262275413256,7851.32,7694.2936,7929.8332,7694.2936,2.0408163265306145,1.8608163265306146,False,False
ETH,SHORT,1583838000,2020-03-10T11:00:00Z,2020-03-10,1583844600,2020-03-10T12:50:00Z,stop,1.8333333333333333,202.79,1583798400,1.0404852310271773,2.7664086000295796,203.52,205.5552,205.5552,199.4496,-0.990099009900991,-1.170099009900991,False,False
BTC,LONG,1583856000,2020-03-10T16:00:00Z,2020-03-10,1583868180,2020-03-10T19:23:00Z,target,3.3833333333333333,7929.87,1583798400,2.763349210012267,2.3947429150793065,7767.28,7922.6256,7689.6071999999995,7922.6256,2.0000000000000018,1.8200000000000018,False,False
BTC,SHORT,1583967600,2020-03-11T23:00:00Z,2020-03-11,1583974800,2020-03-12T01:00:00Z,tif,2.0,7894.57,1583884800,1.082136202478412,3.85796819839459,7948.4,7913.42,8027.884,7789.432,0.44203391201276254,0.26203391201276255,False,False
BTC,SHORT,1583978400,2020-03-12T02:00:00Z,2020-03-12,1583979360,2020-03-12T02:16:00Z,target,0.26666666666666666,7934.58,1583971200,0.39813071391303634,3.1454720980820694,7713.27,7559.0046,7790.402700000001,7559.0046,2.0408163265306145,1.8608163265306146,False,False
ETH,LONG,1584061200,2020-03-13T01:00:00Z,2020-03-13,1584061260,2020-03-13T01:01:00Z,target,0.016666666666666666,107.67,1584057600,8.07095755549363,3.222810439305279,106.89,109.0278,105.8211,109.0278,2.0000000000000018,1.8200000000000018,True,False
BTC,SHORT,1584061200,2020-03-13T01:00:00Z,2020-03-13,1584061200,2020-03-13T01:00:00Z,stop,0.0,4800.01,1584057600,5.187280859831533,5.8126962235495405,4654.72,4701.2672,4701.2672,4561.6256,-0.990099009900991,-1.170099009900991,True,False
BTC,SHORT,1584147600,2020-03-14T01:00:00Z,2020-03-14,1584148020,2020-03-14T01:07:00Z,target,0.11666666666666667,5576.05,1584144000,0.07083867612378558,3.2494328422449703,5451.3,5342.274,5505.813,5342.274,2.0408163265306145,1.8608163265306146,True,False
ETH,SHORT,1584147600,2020-03-14T01:00:00Z,2020-03-14,1584148020,2020-03-14T01:07:00Z,target,0.11666666666666667,134.06,1584144000,0.0895121587348946,2.5361778308220284,133.05,130.389,134.3805,130.389,2.0408163265306145,1.8608163265306146,True,False
ETH,LONG,1584270000,2020-03-15T11:00:00Z,2020-03-15,1584274500,2020-03-15T12:15:00Z,target,1.25,122.54,1584230400,4.055818508242215,1.4199445079157935,126.39,128.9178,125.1261,128.9178,2.0000000000000018,1.8200000000000018,False,False
BTC,LONG,1584306000,2020-03-15T21:00:00Z,2020-03-15,1584306360,2020-03-15T21:06:00Z,target,0.1,5172.48,1584230400,8.149282355852527,1.5346603563474281,5186.43,5290.158600000001,5134.5657,5290.158600000001,2.0000000000000018,1.8200000000000018,False,False
BTC,SHORT,1584320400,2020-03-16T01:00:00Z,2020-03-16,1584323940,2020-03-16T01:59:00Z,stop,0.9833333333333333,5360.33,1584316800,0.09495684034379615,3.214914007160008,5254.74,5307.2874,5307.2874,5149.6452,-0.9900990099010021,-1.170099009901002,True,False
ETH,SHORT,1584320400,2020-03-16T01:00:00Z,2020-03-16,1584321060,2020-03-16T01:11:00Z,stop,0.18333333333333332,123.82,1584316800,0.0,2.834760135680825,121.6,122.81599999999999,122.81599999999999,119.16799999999999,-0.9900990099009799,-1.1700990099009798,True,False
BTC,SHORT,1584406800,2020-03-17T01:00:00Z,2020-03-17,1584407340,2020-03-17T01:09:00Z,stop,0.15,5028.86,1584403200,1.297908472297915,2.1358717482689915,5070.72,5121.4272,5121.4272,4969.305600000001,-0.990099009900991,-1.170099009900991,True,False
BTC,LONG,1584493200,2020-03-18T01:00:00Z,2020-03-18,1584510840,2020-03-18T05:54:00Z,stop,4.9,5312.64,1584489600,2.0025825201782865,0.8252017829177283,5355.78,5302.222199999999,5302.222199999999,5462.8956,-1.000000000000012,-1.180000000000012,True,False
ETH,LONG,1584511200,2020-03-18T06:00:00Z,2020-03-18,1584513900,2020-03-18T06:45:00Z,stop,0.75,115.67,1584489600,2.0143511714359796,0.5792340278378161,115.48,114.32520000000001,114.32520000000001,117.78960000000001,-0.9999999999999898,-1.1799999999999897,False,False
ETH,SHORT,1584601200,2020-03-19T07:00:00Z,2020-03-19,1584601920,2020-03-19T07:12:00Z,stop,0.2,118.11,1584576000,1.507069680806028,2.243671154008975,117.34,118.5134,118.5134,114.9932,-0.990099009900991,-1.170099009900991,False,False
BTC,SHORT,1584601200,2020-03-19T07:00:00Z,2020-03-19,1584603360,2020-03-19T07:36:00Z,stop,0.6,5393.26,1584576000,1.0520538598176143,2.6093679889343413,5374.51,5428.2551,5428.2551,5267.0198,-0.990099009900991,-1.170099009900991,False,False
ETH,LONG,1584666000,2020-03-20T01:00:00Z,2020-03-20,1584667440,2020-03-20T01:24:00Z,stop,0.4,136.3,1584662400,2.6265590608950617,0.05135730007338468,137.95,136.57049999999998,136.57049999999998,140.709,-1.0000000000000009,-1.1800000000000008,True,False
BTC,LONG,1584730800,2020-03-20T19:00:00Z,2020-03-20,1584734520,2020-03-20T20:02:00Z,stop,1.0333333333333334,6162.05,1584662400,11.975722365121989,1.7283209321573123,6193.66,6131.7234,6131.7234,6317.5332,-1.0000000000000009,-1.1800000000000008,False,False
ETH,SHORT,1584752400,2020-03-21T01:00:00Z,2020-03-21,1584753060,2020-03-21T01:11:00Z,stop,0.18333333333333332,133.49,1584748800,0.16480635253577347,3.048917521911765,130.79,132.09789999999998,132.09789999999998,128.17419999999998,-0.9900990099009799,-1.1700990099009798,True,False
BTC,SHORT,1584752400,2020-03-21T01:00:00Z,2020-03-21,1584753120,2020-03-21T01:12:00Z,stop,0.2,6204.57,1584748800,0.30026254841188926,2.2973388969743214,6140.88,6202.2888,6202.2888,6018.0624,-0.990099009900991,-1.170099009900991,True,False
ETH,LONG,1584867600,2020-03-22T09:00:00Z,2020-03-22,1584878220,2020-03-22T11:57:00Z,stop,2.95,132.63,1584835200,3.3928975344944545,1.6135112719595779,132.6,131.274,131.274,135.252,-0.9999999999999898,-1.1799999999999897,False,False
BTC,LONG,1584874800,2020-03-22T11:00:00Z,2020-03-22,1584876960,2020-03-22T11:36:00Z,stop,0.6,6187.04,1584835200,3.569235046161001,1.3421603868732035,6254.5,6191.955,6191.955,6379.59,-1.0000000000000009,-1.1800000000000008,False,False
ETH,LONG,1584925200,2020-03-23T01:00:00Z,2020-03-23,1584928260,2020-03-23T01:51:00Z,stop,0.85,122.31,1584921600,2.5427193197612663,2.2974409287875086,124.12,122.8788,122.8788,126.6024,-1.0000000000000009,-1.1800000000000008,True,False
BTC,LONG,1584925200,2020-03-23T01:00:00Z,2020-03-23,1584928500,2020-03-23T01:55:00Z,stop,0.9166666666666666,5816.05,1584921600,2.2527316649616047,2.201666079211839,5903.84,5844.8016,5844.8016,6021.9168,-1.0000000000000009,-1.1800000000000008,True,False
BTC,LONG,1585011600,2020-03-24T01:00:00Z,2020-03-24,1585014540,2020-03-24T01:49:00Z,stop,0.8166666666666667,6465.25,1585008000,3.1050616758826033,0.019334132477477617,6576.56,6510.794400000001,6510.794400000001,6708.091200000001,-1.0000000000000009,-1.1800000000000008,True,False
ETH,SHORT,1585033200,2020-03-24T07:00:00Z,2020-03-24,1585033740,2020-03-24T07:09:00Z,stop,0.15,135.89,1585008000,0.8168371476930059,2.715431599087492,135.62,136.9762,136.9762,132.9076,-0.990099009900991,-1.170099009900991,False,False
ETH,LONG,1585098000,2020-03-25T01:00:00Z,2020-03-25,1585099920,2020-03-25T01:32:00Z,stop,0.5333333333333333,138.42,1585094400,2.3407022106632036,1.3726340124259329,139.82,138.4218,138.4218,142.6164,-1.0000000000000009,-1.1800000000000008,True,False
BTC,SHORT,1585126800,2020-03-25T09:00:00Z,2020-03-25,1585127820,2020-03-25T09:17:00Z,stop,0.2833333333333333,6744.69,1585094400,0.8200525153861937,3.2696832619438343,6782.45,6850.2744999999995,6850.2744999999995,6646.8009999999995,-0.990099009900991,-1.170099009900991,False,False
BTC,SHORT,1585231200,2020-03-26T14:00:00Z,2020-03-26,1585253640,2020-03-26T20:14:00Z,stop,6.233333333333333,6677.42,1585180800,1.5362220737949572,2.5072557964004094,6635.25,6701.6025,6701.6025,6502.545,-0.990099009900991,-1.170099009900991,False,False
ETH,SHORT,1585256400,2020-03-26T21:00:00Z,2020-03-26,1585264560,2020-03-26T23:16:00Z,stop,2.2666666666666666,136.11,1585180800,1.8147086914995114,2.0938946440379302,136.28,137.6428,137.6428,133.5544,-0.9900990099009799,-1.1700990099009798,False,False
ETH,LONG,1585270800,2020-03-27T01:00:00Z,2020-03-27,1585285320,2020-03-27T05:02:00Z,stop,4.033333333333333,138.4,1585267200,2.0736994219653138,0.036127167630062296,139.07,137.67929999999998,137.67929999999998,141.85139999999998,-1.000000000000012,-1.180000000000012,True,False
ETH,SHORT,1585357200,2020-03-28T01:00:00Z,2020-03-28,1585365660,2020-03-28T03:21:00Z,target,2.35,131.33,1585353600,0.0,2.725957511611976,130.22,127.6156,131.5222,127.6156,2.0408163265306145,1.8608163265306146,True,False
BTC,SHORT,1585357200,2020-03-28T01:00:00Z,2020-03-28,1585365300,2020-03-28T03:15:00Z,target,2.25,6359.11,1585353600,0.013995669205280059,2.502079693542014,6306.54,6180.4092,6369.6054,6180.4092,2.0408163265306145,1.8608163265306146,True,False
BTC,LONG,1585630800,2020-03-31T05:00:00Z,2020-03-31,1585653000,2020-03-31T11:10:00Z,stop,6.166666666666667,6394.45,1585612800,2.013933958354497,0.2572543377460157,6398.93,6334.9407,6334.9407,6526.908600000001,-1.0000000000000009,-1.1800000000000008,False,False
BTC,SHORT,1585702800,2020-04-01T01:00:00Z,2020-04-01,1585713360,2020-04-01T03:56:00Z,stop,2.933333333333333,6412.14,1585699200,0.2242621028237135,2.694888134070683,6305.12,6368.1712,6368.1712,6179.0176,-0.990099009900991,-1.170099009900991,True,False
ETH,SHORT,1585774800,2020-04-01T21:00:00Z,2020-04-01,1585779720,2020-04-01T22:22:00Z,stop,1.3666666666666667,132.72,1585699200,0.4822182037371947,3.089210367691375,131.74,133.0574,133.0574,129.1052,-0.9900990099009799,-1.1700990099009798,False,False
ETH,LONG,1585789200,2020-04-02T01:00:00Z,2020-04-02,1585838520,2020-04-02T14:42:00Z,target,13.7,135.65,1585785600,2.6391448580906696,0.07371913011425812,136.0,138.72,134.64,138.72,2.0000000000000018,1.8200000000000018,True,False
BTC,LONG,1585839600,2020-04-02T15:00:00Z,2020-04-02,1585846680,2020-04-02T16:58:00Z,target,1.9666666666666666,6643.36,1585785600,2.658293393704403,1.3902603501842359,6775.1,6910.602000000001,6707.349,6910.602000000001,2.0000000000000018,1.8200000000000018,False,False
BTC,LONG,1585900800,2020-04-03T08:00:00Z,2020-04-03,1585918020,2020-04-03T12:47:00Z,stop,4.783333333333333,6793.86,1585872000,2.3718475211440992,1.0412342909627226,6931.46,6862.1454,6862.1454,7070.0892,-1.0000000000000009,-1.1800000000000008,False,False
ETH,LONG,1585926000,2020-04-03T15:00:00Z,2020-04-03,1585930020,2020-04-03T16:07:00Z,stop,1.1166666666666667,141.27,1585872000,3.857860833864213,0.7786508105047218,141.76,140.3424,140.3424,144.5952,-0.9999999999999898,-1.1799999999999897,False,False
