asset,ts,iso,bar_day,bar_day_str,pdo,today_open,gap_pct,hour_low,hour_high,hour_close,btc_30d_pct,regime_available
BTC,1580468400,2020-01-31T11:00:00Z,18292,2020-01-31,9301.57,9511.52,2.2571458366705914,9270.4,9384.91,9344.57,29.749652874201605,True
BTC,1580472000,2020-01-31T12:00:00Z,18292,2020-01-31,9301.57,9511.52,2.2571458366705914,9304.0,9347.75,9328.41,29.611654532318127,True
BTC,1580475600,2020-01-31T13:00:00Z,18292,2020-01-31,9301.57,9511.52,2.2571458366705914,9247.1,9332.23,9282.33,28.464665169211088,True
BTC,1580479200,2020-01-31T14:00:00Z,18292,2020-01-31,9301.57,9511.52,2.2571458366705914,9210.01,9295.6,9271.85,28.397634742148124,True
BTC,1580482800,2020-01-31T15:00:00Z,18292,2020-01-31,9301.57,9511.52,2.2571458366705914,9237.9,9300.0,9263.18,28.27348599931038,True
BTC,1580486400,2020-01-31T16:00:00Z,18292,2020-01-31,9301.57,9511.52,2.2571458366705914,9261.66,9345.82,9339.19,29.09793632735664,True
BTC,1580490000,2020-01-31T17:00:00Z,18292,2020-01-31,9301.57,9511.52,2.2571458366705914,9256.24,9367.5,9287.8,28.189450642272227,True
BTC,1580493600,2020-01-31T18:00:00Z,18292,2020-01-31,9301.57,9511.52,2.2571458366705914,9270.0,9316.44,9282.5,28.26748728379691,True
BTC,1580497200,2020-01-31T19:00:00Z,18292,2020-01-31,9301.57,9511.52,2.2571458366705914,9276.29,9320.0,9318.67,28.6990016117293,True
BTC,1580500800,2020-01-31T20:00:00Z,18292,2020-01-31,9301.57,9511.52,2.2571458366705914,9294.33,9320.0,9302.67,28.676889624150014,True
BTC,1580504400,2020-01-31T21:00:00Z,18292,2020-01-31,9301.57,9511.52,2.2571458366705914,9300.59,9339.97,9321.0,28.801267976005747,True
BTC,1581314400,2020-02-10T06:00:00Z,18302,2020-02-10,9895.04,10151.72,2.59402690640966,9756.0,10084.14,9835.71,21.677732541093416,True
