phase_hour,n,mean_net_pct,win,worst_pct,t_trade,cagr_pct,mtm_maxdd_pct,sharpe,mar,days,total_pct
0,19,14.628777887344441,0.47368421052631576,-11.459087999999998,1.3959024977700518,25.161784150637168,-54.32721765972263,0.7174688697779203,0.4631524534946271,2270,303.440250306873
1,20,15.36172914322141,0.5,-10.990063,1.5694925318116713,32.122517170274236,-53.71295263190904,0.795963264255046,0.5980404277978817,2022,367.43349823972693
2,22,3.8339041531907383,0.4090909090909091,-11.112274999999999,1.0668342936399244,7.160887607588684,-50.07954226487272,0.38023967656749896,0.14299027674243628,2022,46.64896265430225
3,20,15.141647540564483,0.5,-10.867031999999998,1.4894398871138879,30.124239835505897,-61.01982924542874,0.7764563985230162,0.49367951710160896,2071,345.0627022852612
4,23,5.0348278302053435,0.5652173913043478,-10.867031999999998,1.568901936302386,10.072338066001185,-48.94005659407469,0.4388749091684515,0.20580969387805473,2268,81.46733538070166
5,23,4.791967619716723,0.5217391304347826,-12.839711999999999,1.437087136664486,9.464259853919298,-52.62323414276351,0.42658867848093285,0.17984945258672927,2267,75.28791163621645
6,23,7.888799877225197,0.6086956521739131,-10.72703200000001,2.101370352223585,22.502055523276752,-47.611738041021326,0.6663291949661206,0.4726157130388609,2147,229.7018349664123
7,20,5.800700864175048,0.55,-12.839711999999999,1.4173241034948831,13.681970973927271,-52.47954167976199,0.5120813366297116,0.26071056522209557,1969,99.6290861752237
8,20,7.280248172446385,0.5,-10.930062999999999,1.2937732079141655,14.203730765055212,-65.69384831286948,0.526993616653684,0.21621097149628682,2057,111.27178656893352
9,20,6.604237684392599,0.55,-10.887032,1.6234141864789582,14.763708915971009,-57.84385117365757,0.5456537538553444,0.2552338514191892,2181,127.56644418602798
10,19,11.601846848201859,0.5789473684210527,-10.719848830351005,1.927950106762264,28.93550964549878,-51.42946625692394,0.7637348395197645,0.5626251204114567,1934,284.08114141989495
11,19,12.151450039926434,0.5789473684210527,-10.908855999999998,2.3951620080757614,31.479380507820153,-52.46094862957024,0.7993811582825385,0.6000535890057548,1983,341.872495810021
12,20,4.753642054285056,0.45,-11.779452999999998,1.2714571720362997,10.398358144619223,-44.77737486781436,0.44804272078014024,0.23222348731509682,1933,68.79888203991717
13,18,15.941888740583302,0.4444444444444444,-11.779452999999998,1.3459140377594518,29.295945624988295,-56.40421455944096,0.764162220621847,0.5193928477474868,1933,289.52645678532656
14,19,4.610030557935272,0.47368421052631576,-10.936183999999987,1.2014169633366014,10.503879980097386,-45.02449684065009,0.4520466587869673,0.23329255665582527,1933,69.65450380033253
15,20,13.697045992200326,0.45,-12.913516404974152,1.310014211593654,25.185685663714196,-58.377774325969234,0.7145499327810291,0.4314259314355257,2095,262.7052452167173
16,20,5.394115900787686,0.5,-11.122274999999998,1.4419550289060672,14.609107205689531,-49.46308705011988,0.537533091991528,0.295353728951176,1962,108.02006173005773
17,22,5.837075847912459,0.5454545454545454,-10.937031999999999,1.5649280346091943,14.34478859077226,-50.824504375590784,0.5251449074941299,0.28224158340561323,2096,115.81256427996212
18,21,6.579808335595855,0.5238095238095238,-10.937031999999999,1.8247244634376982,18.5143749555305,-49.96202391281373,0.601435276244606,0.37056895428894204,1961,148.92651465007586
19,20,5.7650260537923375,0.45,-11.15984300000001,1.5092143341414435,13.634535228297718,-52.85703603967511,0.5108327276535114,0.2579511877673859,1961,98.62361140152093
20,19,17.814929509316574,0.5789473684210527,-11.611849999999986,1.5829362968025527,40.05618820668004,-53.9522945053427,0.8996866141131871,0.7424371581214849,1959,509.0950055878423
21,21,14.727537282222588,0.47619047619047616,-11.61185000000001,1.4263508298873833,33.43470101115151,-61.232692730830294,0.8092554190456139,0.5460269591299116,1959,369.75654115040084
22,21,13.560969405001737,0.38095238095238093,-11.611849999999986,1.3515857587793663,27.28654861840567,-57.98059783596048,0.7283779638156692,0.4706151650178764,2000,274.763907885308
23,23,8.141496122284892,0.5652173913043478,-11.611849999999999,2.099328519853408,22.85294602772212,-49.26651983456966,0.6734848921369716,0.46386361578733865,2271,259.55806907499573
