time,entry,risk_pct,exit_reason,gross_r,net_r,cost_r,hold_bars,symbol,n_days,target_r,event_ts
2024-02-06 21:00:00+00:00,43075.7,1.382070198714335,stop,-0.9999999999999966,-1.1302394047476312,0.13023940474763457,83,BTCUSDT,1,1.0,2024-02-06 20:45:00+00:00
2024-02-05 08:30:00+00:00,43023.3,1.2677811843617541,stop,-0.9999999999999998,-1.1419803371593797,0.14198033715938002,21,BTCUSDT,1,1.0,2024-02-05 08:15:00+00:00
2024-02-15 15:30:00+00:00,52240.8,2.011570831540644,target,1.0000000000000002,0.9105176923538212,0.08948230764617898,185,BTCUSDT,1,1.0,2024-02-15 15:15:00+00:00
2024-07-08 09:15:00+00:00,57670.3,2.856009542607249,target,0.9999999999999996,0.9369750004981848,0.06302499950181473,21,BTCUSDT,1,1.0,2024-07-08 09:00:00+00:00
2024-07-06 14:15:00+00:00,56710.8,2.041771060856332,stop,-1.0000000000000007,-1.0881587575859304,0.08815875758592975,10,BTCUSDT,1,1.0,2024-07-06 14:00:00+00:00
2024-07-01 18:30:00+00:00,63500.2,1.4130404423691605,target,1.000000000000001,0.8726151109318547,0.12738488906814638,52,BTCUSDT,1,1.0,2024-07-01 18:15:00+00:00
2024-06-30 14:15:00+00:00,61710.1,0.938079747455476,stop,-1.0000000000000024,-1.191881341099463,0.19188134109946056,26,BTCUSDT,1,1.0,2024-06-30 14:00:00+00:00
2024-06-27 15:00:00+00:00,61721.2,1.4755619591825846,target,1.0000000000000029,0.8780125775947015,0.12198742240530137,96,BTCUSDT,1,1.0,2024-06-27 14:45:00+00:00
2024-06-25 16:30:00+00:00,61565.1,2.2320953575698734,timeout,-0.1563828350176255,-0.2370245510579158,0.08064171604029031,193,BTCUSDT,1,1.0,2024-06-25 16:15:00+00:00
2024-06-20 08:45:00+00:00,65680.0,1.2633868967304878,target,0.9999999999999988,0.857525829604674,0.1424741703953247,22,BTCUSDT,1,1.0,2024-06-20 08:30:00+00:00
2024-06-17 18:45:00+00:00,66790.6,1.5922655308780003,target,0.9999999999999972,0.8869535284728863,0.1130464715271109,25,BTCUSDT,1,1.0,2024-06-17 18:30:00+00:00
2024-06-16 12:00:00+00:00,66471.4,0.7390234527025921,target,0.9999999999999873,0.7564353345732758,0.24356466542671154,77,BTCUSDT,1,1.0,2024-06-16 11:45:00+00:00
2024-06-12 11:15:00+00:00,67893.8,1.3414299078956229,stop,-0.9999999999999978,-1.1341851698255134,0.13418516982551565,6,BTCUSDT,1,1.0,2024-06-12 11:00:00+00:00
2024-06-10 16:30:00+00:00,69828.2,0.8958530506473081,target,0.9999999999999978,0.7990741898239437,0.2009258101760541,38,BTCUSDT,1,1.0,2024-06-10 16:15:00+00:00
2024-06-09 13:30:00+00:00,69520.3,0.5820960923020901,stop,-1.0000000000000044,-1.309227294909563,0.30922729490955847,104,BTCUSDT,1,1.0,2024-06-09 13:15:00+00:00
2024-06-07 12:45:00+00:00,71064.2,1.0768225710252515,target,0.999999999999994,0.8328415424756308,0.16715845752436315,20,BTCUSDT,1,1.0,2024-06-07 12:30:00+00:00
2024-06-05 20:15:00+00:00,71259.1,1.777486636467341,target,1.0000000000000004,0.8987334158766226,0.10126658412337787,183,BTCUSDT,1,1.0,2024-06-05 20:00:00+00:00
2024-06-04 19:45:00+00:00,70366.3,1.7296767681667078,stop,-0.9999999999999957,-1.1040656863251828,0.1040656863251871,79,BTCUSDT,1,1.0,2024-06-04 19:30:00+00:00
2024-06-03 02:45:00+00:00,68504.8,1.1499935388529474,stop,-1.0000000000000002,-1.1565226185353528,0.15652261853535251,23,BTCUSDT,1,1.0,2024-06-03 02:30:00+00:00
2024-08-11 06:30:00+00:00,61016.9,1.3660263562241581,stop,-1.0000000000000044,-1.1317690534885032,0.13176905348849866,12,BTCUSDT,1,1.0,2024-08-11 06:15:00+00:00
2024-08-09 04:15:00+00:00,61191.0,3.336903344244149,timeout,0.08428488382234571,0.03034265612477593,0.05394222769756978,193,BTCUSDT,1,1.0,2024-08-09 04:00:00+00:00
2024-08-07 15:30:00+00:00,56053.7,3.2882752781568403,stop,-1.0000000000000009,-1.0547399426062947,0.05473994260629374,85,BTCUSDT,1,1.0,2024-08-07 15:15:00+00:00
