time,side,gross_r,net_r,exit,risk_pct,hold_bars
2020-01-03 04:45:00+00:00,1,1.286682531580517,1.2283016771988278,timeout,3.0832025654022575,289
2020-01-07 22:15:00+00:00,1,0.002748296200392813,-0.02828818273113765,timeout,5.799626961457121,289
2020-01-08 22:30:00+00:00,1,0.15401057805507418,0.12981310872480428,timeout,7.43879442693739,289
2020-01-10 16:45:00+00:00,1,0.2067356830796858,0.1722811804801394,timeout,5.22428090435907,289
2020-01-12 00:30:00+00:00,1,1.8237636601302825,1.7893404087577132,timeout,5.2290237796489905,289
2020-01-28 05:45:00+00:00,1,0.7837493003590394,0.739910851508719,timeout,4.105984694271052,289
2020-02-09 03:45:00+00:00,1,0.9288606249899062,0.8662813237602084,timeout,2.876350429981771,289
2020-02-11 15:45:00+00:00,1,0.3220145684558814,0.2622632659414325,timeout,3.0124866308391,289
2020-02-16 03:00:00+00:00,1,-1.0,-1.0475426136869763,stop,3.786077079925225,56
2020-02-18 19:30:00+00:00,1,-1.0,-1.0407304026992765,stop,4.419303224890457,106
2020-02-26 14:15:00+00:00,1,-1.0,-1.0302599805444392,stop,5.948450618983572,44
2020-04-12 16:15:00+00:00,1,-1.0,-1.0503932619891247,stop,3.5719061020269955,33
2020-04-16 12:45:00+00:00,1,0.2959402870720799,0.2712148645529783,timeout,7.279956484502577,289
2020-04-17 15:15:00+00:00,1,0.08509499128620161,0.050239016074868574,timeout,5.164107413683119,289
2020-04-20 13:00:00+00:00,1,-1.0,-1.04577636044686,stop,3.9321605790166463,29
2020-05-03 00:45:00+00:00,1,-1.0,-1.0425574543004115,stop,4.229576297712427,57
2020-05-05 08:45:00+00:00,1,1.9512512700219067,1.918204232146354,wick,5.4467816655107315,253
2020-05-11 12:30:00+00:00,1,-1.0,-1.0195350579099636,stop,9.214203552895208,24
2020-05-13 12:30:00+00:00,1,0.9233488550457347,0.8903846056645289,timeout,5.46046105641419,289
2020-05-21 19:45:00+00:00,1,-0.12712587301469466,-0.15413611234869296,timeout,6.664139394478841,289
2020-05-24 20:00:00+00:00,1,0.35811321554931136,0.31720748959292333,timeout,4.400361949129286,289
2020-07-27 01:15:00+00:00,1,1.9467634007305743,1.898229332481021,wick,3.708735049253918,64
2020-07-28 04:15:00+00:00,1,-0.015911236306999584,-0.03580430759424159,timeout,9.04837656292114,289
2020-07-29 06:45:00+00:00,1,0.888839345874176,0.8596183396003245,timeout,6.159952135566044,289
2020-07-30 07:00:00+00:00,1,0.5229339010823475,0.49111038759826164,timeout,5.656195067524942,289
2020-08-02 13:15:00+00:00,1,0.512884770115224,0.49435563217632383,timeout,9.714429273156114,289
2020-08-10 03:00:00+00:00,1,-1.0,-1.0575311679404777,stop,3.1287388461543033,30
2020-08-18 15:30:00+00:00,1,-0.47257930794909814,-0.5075402227745073,timeout,5.148606691183553,289
2020-09-01 16:45:00+00:00,1,-1.0,-1.0570438920830096,stop,3.1554649135452784,71
2020-10-21 01:30:00+00:00,1,2.022787246044762,1.9709871741869,wick,3.4748986544635514,80
2020-10-22 18:00:00+00:00,1,-0.09517957343918762,-0.12852136418504254,timeout,5.398630246708561,289
2020-10-25 06:45:00+00:00,1,1.1480580500473434,1.1084340501922578,timeout,4.542701409708847,289
2020-10-26 09:00:00+00:00,1,0.39320206187324147,0.3259606957997868,timeout,2.6769236038923934,289
2020-10-28 17:30:00+00:00,1,0.9477895656874625,0.9191625309556292,wick,6.2877626581365575,258
2020-11-04 17:15:00+00:00,1,1.2725652094310052,1.2346309016632468,wick,4.745045068490442,105
2020-11-05 19:45:00+00:00,1,0.27866644045817207,0.2536708004243858,timeout,7.201255889294937,289
2020-11-08 02:00:00+00:00,1,0.31516129523336983,0.2922205722976928,timeout,7.846308963527349,289
2020-11-09 17:00:00+00:00,1,0.6960681341678333,0.6714735737335427,wick,7.318691483871276,197
2020-11-12 15:30:00+00:00,1,-0.03328324748837255,-0.0628865182605911,timeout,6.080409201571151,289
2020-11-13 16:45:00+00:00,1,0.5145271799997714,0.47706944166066306,timeout,4.80541559584948,289
2020-11-14 22:15:00+00:00,1,1.4634682662571872,1.4188836902028457,wick,4.037270642219594,246
2020-11-16 04:30:00+00:00,1,1.6667437516179064,1.6150536674135543,wick,3.482292644144002,125
2020-11-17 13:00:00+00:00,1,1.2606405126244176,1.216305001136461,wick,4.059950905244325,83
2020-11-19 18:15:00+00:00,1,0.4351658358118966,0.40813818698688364,timeout,6.659846780065358,289
2020-11-22 12:30:00+00:00,1,0.7667365700630138,0.7386011530805388,wick,6.397630435408809,181
2020-11-24 12:30:00+00:00,1,-1.0,-1.0291973461558948,stop,6.164943863011288,157
2020-11-26 12:15:00+00:00,1,0.39667580876216607,0.38132758379922477,timeout,11.727740532512037,289
2020-11-27 20:30:00+00:00,1,1.6784122068256837,1.6568806864328391,timeout,8.35983696069225,289
2020-11-29 08:30:00+00:00,1,0.9374985175630466,0.8981528429943039,wick,4.574835784947934,233
2020-12-01 16:45:00+00:00,1,-0.06832190393224769,-0.08518771946207691,timeout,10.67247532036908,289
