variant,split,n,net_exp_r,gross_exp_r,wr_pct,total_r,max_dd_r,mar_like,trades_per_wk,wick_share,med_risk_pct
k4_open_both,IS,2146,-0.0539033886059571,0.0025552330679847403,56.75675675675676,-115.67667194838394,-129.57715065147548,-0.8927243064598654,8.23123287671233,0.5097856477166822,3.512936933362041
k4_open_both,OOS,1046,-0.08083292860064942,0.0035431911110816064,65.2963671128107,-84.5512433162793,-88.41373131322081,-0.9563134827636899,12.223706176961603,0.6539196940726577,2.358969777271099
k4_open_both,ALL,3192,-0.06272804362928047,0.002878981223711346,59.55513784461153,-200.22791526466327,-215.91966258825695,-0.9273259918272626,9.217821782178218,0.5570175438596491,3.113176857176951
k4_open_long,IS,1067,0.012562658107533781,0.06903465057742668,58.29428303655108,13.404356200738544,-59.72727260337796,0.22442605557683612,4.097092704333516,0.5126522961574508,3.5430948671635223
k4_open_long,OOS,523,-0.05696072515142428,0.027545180859774126,66.73040152963671,-29.7904592541949,-36.934697721352215,-0.806571086054207,6.122073578595318,0.6730401529636711,2.3663303034373437
k4_open_long,ALL,1590,-0.01030572519085305,0.05538748538099129,61.069182389937104,-16.38610305345635,-59.72727260337796,-0.274348757932898,4.59347915806851,0.5654088050314465,3.109174415594981
k4_open_short,IS,1079,-0.11963023924849167,-0.0631848396684143,55.23632993512512,-129.08102814912252,-140.0111884953032,-0.9219336649902994,4.138630136986301,0.5069508804448564,3.497377160433017
k4_open_short,OOS,523,-0.10470513204987457,-0.020458798637610912,63.862332695984705,-54.7607840620844,-55.15097827490626,-0.9929249811149877,6.122073578595318,0.6347992351816444,2.3431888906177387
k4_open_short,ALL,1602,-0.11475768552509794,-0.049236200805049646,58.052434456928836,-183.8418122112069,-191.59105484150137,-0.9595532127702662,4.626237623762377,0.548689138576779,3.1144853762599554
k4_gated_both,IS,1147,-0.014425989744530649,0.041827619118061224,59.02353966870096,-16.546610236976655,-57.80936367631617,-0.28622716433316514,4.39945205479452,0.5274629468177855,3.5415828777097174
k4_gated_both,OOS,569,-0.1039830447203225,-0.0189167665095111,63.44463971880492,-59.16635244586351,-62.403246999283205,-0.9481293889489937,6.660535117056856,0.6344463971880492,2.3687472477694738
k4_gated_both,ALL,1716,-0.044121773125198244,0.021685687053906996,60.48951048951049,-75.71296268284019,-121.09082599891119,-0.6252576283815339,4.955445544554455,0.5629370629370629,3.113792723844277
k4_gated_long,IS,659,0.03306239571189378,0.08966509417431084,60.24279210925645,21.788118774138002,-25.533424084445283,0.8533175457423713,2.5332235035694675,0.5386949924127465,3.409910485125625
k4_gated_long,OOS,277,-0.07594111345256646,0.017671188715737526,66.06498194945848,-21.03568842636091,-25.809184063980744,-0.8150466273638725,3.2479061976549413,0.6606498194945848,2.0958397592544595
k4_gated_long,ALL,936,0.0008038785766849055,0.06835920548625013,61.965811965811966,0.7524303477770715,-50.68422238753771,0.014845455100877307,2.7040858439950473,0.5747863247863247,2.9839328015302975
k4_gated_short,IS,488,-0.07855477256375955,-0.022772577730439784,57.377049180327866,-38.33472901111466,-48.27944066337312,-0.7940176705526136,1.8717808219178083,0.5122950819672131,3.691276761378729
k4_gated_short,OOS,292,-0.13058446582021438,-0.05362520348688739,60.95890410958904,-38.130664019502596,-37.05460586911605,-1.0290397947879242,3.4527027027027026,0.6095890410958904,2.6245117730637517
k4_gated_short,ALL,780,-0.09803255516745801,-0.03432253506490478,58.71794871794872,-76.46539303061725,-85.71858751603285,-0.8920514820232557,2.258064516129032,0.5487179487179488,3.280039327146194
k5_open_both,IS,2146,-0.043861423246832315,0.0013054740923211547,58.52749301025163,-94.12661428770215,-110.0393742764831,-0.8553903083018374,8.23123287671233,0.5144454799627214,4.391171166702552
k5_open_both,OOS,1046,-0.05666494655884499,0.010835949210539824,66.25239005736138,-59.27153410055186,-61.636304625762804,-0.9616334798205518,12.223706176961603,0.6520076481835564,2.948712221588874
k5_open_both,ALL,3192,-0.04805706403140791,0.004428555850985542,61.058897243107765,-153.39814838825404,-168.61902601075695,-0.9097321459944152,9.217821782178218,0.5595238095238095,3.891471071471188
k5_open_long,IS,1067,0.010087071224947296,0.05526466520086162,59.700093720712275,10.762904997018765,-47.28905185998678,0.2275982404740431,4.097092704333516,0.514526710402999,4.4288685839544035
k5_open_long,OOS,523,-0.03395709213540361,0.033647632673555104,67.68642447418738,-17.75955918681609,-25.83717086851255,-0.6873646993781138,6.122073578595318,0.6653919694072657,2.95791287929668
k5_open_long,ALL,1590,-0.004400411440124107,0.04815415701735136,62.32704402515723,-6.996654189797331,-47.43525899184324,-0.14749901947410987,4.59347915806851,0.5641509433962264,3.8864680194937256
k5_open_short,IS,1079,-0.0972099344622066,-0.052053614798144715,57.367933271547734,-104.88951928472093,-115.8857367647795,-0.9051115539578588,4.138630136986301,0.5143651529193698,4.371721450541271
k5_open_short,OOS,523,-0.07937280098228637,-0.011975734252475456,64.81835564053537,-41.51197491373577,-41.86907701093297,-0.9914709823408825,6.122073578595318,0.638623326959847,2.9289861132721735
k5_open_short,ALL,1602,-0.09138670049841242,-0.03896951272237379,59.80024968789014,-146.4014941984567,-153.6640185464342,-0.9527376388000494,4.626237623762377,0.5549313358302123,3.893106720324944
k5_gated_both,IS,1147,-0.018326046863560496,0.026676840226513027,59.982563208369655,-21.01997575250389,-63.13584186299074,-0.33293253296786207,4.39945205479452,0.5248474280732345,4.426978597137147
k5_gated_both,OOS,569,-0.06535293018840135,0.0027000923802477667,64.49912126537785,-37.18581727720037,-40.04561795248765,-0.9285864266427276,6.660535117056856,0.6362038664323374,2.9609340597118416
k5_gated_both,ALL,1716,-0.03391945980751996,0.018726508335764225,61.48018648018648,-58.20579302970425,-104.0821601759427,-0.5592292947351586,4.955445544554455,0.5617715617715617,3.8922409048053463
k5_gated_long,IS,659,0.016091356466848224,0.061373515236781855,60.69802731411229,10.60420391165298,-23.540921123557755,0.4504583255682886,2.5332235035694675,0.5326251896813353,4.262388106407031
k5_gated_long,OOS,277,-0.043729548139786446,0.031160293594856746,66.78700361010831,-12.113084834720846,-19.88091656037414,-0.609282011618326,3.2479061976549413,0.6570397111913358,2.6197996990680745
k5_gated_long,ALL,936,-0.0016120522682349008,0.05243220925941727,62.5,-1.508880923067867,-40.524866627081835,-0.03723345808766997,2.7040858439950473,0.5694444444444444,3.729916001912872
k5_gated_short,IS,488,-0.06480364685278044,-0.02017789098612463,59.01639344262295,-31.624179664156856,-49.409300471727434,-0.6400450798175653,1.8717808219178083,0.514344262295082,4.614095951723412
k5_gated_short,OOS,292,-0.08586552206328603,-0.024298112196624456,62.328767123287676,-25.07273244247952,-24.0118859221703,-1.0441800583156085,3.4527027027027026,0.6164383561643836,3.2806397163296888
k5_gated_short,ALL,780,-0.07268834885466202,-0.021720332772619436,60.256410256410255,-56.696912106636375,-74.12881918073265,-0.7648430493463584,2.258064516129032,0.5525641025641026,4.100049158932743
